gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
1,0,1,1,10,1,0,2,1,1,1,1,1,1,0,1,2,37,911,0
1,0,1,1,71,0,1,0,2,0,2,2,2,2,2,0,0,544,4500,0
1,0,1,1,65,1,0,2,1,1,1,1,1,1,1,1,2,35,2656,0
0,0,0,0,17,1,2,1,0,0,0,2,2,0,0,1,2,1022,2954,1
0,0,0,0,8,1,2,1,0,0,0,0,0,0,0,1,1,780,1662,0
1,0,1,0,47,1,2,1,2,2,2,0,2,2,0,1,0,1445,4806,0
1,0,0,0,9,1,0,1,0,0,0,0,0,0,0,0,3,690,1813,0
0,0,0,0,8,1,2,1,0,0,0,0,2,2,0,1,2,1142,2040,1
0,1,0,0,12,1,2,1,0,0,0,0,2,2,0,1,2,1148,2565,1
1,0,0,0,3,1,2,1,0,2,0,0,0,0,0,0,2,837,1102,1
1,0,0,0,3,1,0,1,0,0,0,0,0,0,0,1,2,691,876,1
0,0,1,0,71,1,2,0,2,2,2,2,2,2,2,0,0,1093,5208,0
0,0,1,1,50,1,0,0,2,2,2,2,2,2,2,0,1,971,4441,0
1,0,1,0,58,0,1,0,0,2,0,0,0,2,0,1,0,251,3523,1
1,0,1,0,9,1,2,1,0,0,0,0,2,0,0,1,2,973,1922,1
1,1,1,0,60,1,2,1,0,2,0,0,0,0,0,1,2,910,4650,0
1,0,0,0,53,1,0,1,2,0,2,2,0,0,1,0,2,949,4469,0
0,0,0,0,32,1,2,0,2,2,0,0,0,0,0,1,3,543,3278,0
0,0,0,0,26,1,0,2,1,1,1,1,1,1,2,1,0,33,1512,0
0,1,0,0,0,1,0,1,0,0,0,0,2,0,0,1,2,852,363,1
1,0,0,0,22,1,0,1,0,2,0,0,2,2,0,0,3,1153,3365,0
1,0,1,1,44,1,0,0,2,2,2,2,2,2,2,1,3,948,4195,0
0,0,1,1,38,1,0,2,1,1,1,1,1,1,2,1,0,25,1989,0
1,0,0,0,4,1,0,0,0,0,2,0,2,2,1,1,3,687,1145,1
1,0,1,1,71,1,2,0,2,2,2,2,2,0,2,0,0,911,4982,0
0,0,1,1,57,1,2,0,0,2,0,0,2,0,0,1,0,636,4249,0
0,0,0,0,69,0,1,0,2,2,2,2,0,0,2,1,0,289,3834,0
1,0,1,1,60,1,0,1,0,2,0,2,2,2,1,1,0,1209,5102,0
1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,3,701,556,0
0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,367,179,1
0,0,1,0,21,1,0,1,0,0,0,0,0,0,0,1,2,672,2881,1
0,0,0,0,47,1,0,1,2,0,2,2,2,2,2,1,1,1283,4649,0
1,0,0,0,63,1,2,0,0,2,2,2,2,2,2,0,1,992,4921,0
1,0,1,1,71,1,2,2,1,1,1,1,1,1,2,0,0,75,2959,0
0,0,1,1,11,1,0,0,0,0,2,0,2,0,0,1,1,496,1820,0
0,1,1,0,33,1,2,1,0,2,2,0,0,2,0,1,2,1132,3912,1
0,0,1,1,71,1,0,0,2,2,2,0,0,2,2,0,1,663,4638,0
1,0,1,0,28,1,2,1,0,2,2,0,0,0,0,1,2,977,3516,0
0,0,1,1,61,1,2,1,0,2,2,2,2,2,1,1,2,1434,5302,0
1,0,1,0,40,1,2,0,0,0,2,0,2,2,1,1,2,737,3794,1
0,0,0,0,63,1,2,1,0,0,2,0,2,2,1,1,1,1240,5132,1
0,0,0,0,3,1,0,1,0,0,2,0,0,2,0,1,1,920,1074,0
0,0,0,0,23,1,2,1,2,0,0,2,0,0,0,1,2,948,3211,0
0,1,0,0,3,1,0,1,0,2,2,0,2,2,0,1,1,1235,1332,1
0,0,0,1,17,0,1,0,0,0,0,0,0,2,0,1,2,182,1539,1
1,0,0,0,7,1,0,0,0,0,0,0,2,2,0,1,2,627,1525,0
0,0,0,0,34,1,2,2,1,1,1,1,1,1,2,0,0,58,1898,0
0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,2,796,341,1
1,0,0,1,65,1,2,2,1,1,1,1,1,1,2,1,1,95,2987,0
1,0,0,1,7,0,1,0,2,0,0,2,0,2,2,1,3,288,1135,0
0,0,1,1,42,1,2,1,0,0,2,0,0,2,0,1,0,1102,4282,0
0,1,0,0,1,1,2,1,0,0,0,0,2,2,0,1,2,1124,701,1
1,1,0,0,28,1,0,1,0,2,2,0,2,2,0,1,0,1267,3769,0
0,0,1,0,14,1,0,1,0,0,2,0,2,0,0,1,2,947,2588,1
1,0,0,0,34,1,2,1,0,0,2,2,2,0,0,0,2,1157,3999,0
1,0,0,0,63,1,0,1,2,2,0,0,2,2,1,1,1,1245,5245,0
0,0,1,1,57,0,1,0,0,0,2,2,2,2,2,1,1,455,3885,0
0,1,0,0,17,1,0,0,0,2,0,0,0,0,0,1,1,365,2010,0
1,0,1,1,66,1,2,1,0,2,0,0,0,2,0,1,0,1046,5169,0
0,0,1,0,59,1,2,1,0,2,0,0,2,2,0,1,2,1235,5045,0
1,1,0,0,8,1,2,1,0,0,0,0,0,2,0,1,1,949,1809,1
0,0,1,1,69,1,2,1,2,2,2,2,2,2,2,1,1,1460,5531,0
1,0,1,0,14,1,2,1,0,0,2,0,2,2,0,1,2,1261,2830,1
1,0,1,0,11,1,0,0,0,0,2,2,2,2,0,1,2,759,1823,0
1,1,1,0,70,1,2,1,2,2,2,2,0,0,1,1,2,1093,5237,0
1,1,0,0,43,1,0,1,0,0,2,0,0,0,0,0,2,753,3866,0
1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,2,377,184,1
1,0,1,1,44,1,2,2,1,1,1,1,1,1,2,0,3,78,2311,0
0,0,0,0,22,1,2,2,1,1,1,1,1,1,1,0,1,85,1638,0
0,0,1,0,42,1,2,0,0,0,0,2,2,0,1,1,0,602,3752,0
1,0,0,0,34,1,0,2,1,1,1,1,1,1,0,0,0,43,1817,0
1,0,1,0,8,1,0,0,2,2,0,2,2,0,0,1,3,666,1603,0
1,0,0,0,11,1,2,1,0,0,0,2,2,2,0,1,3,1238,2374,1
0,1,1,0,64,1,2,1,2,2,2,0,2,2,0,1,1,1408,5397,0
0,0,0,0,1,1,2,1,0,0,2,0,2,0,0,1,2,1083,757,1
1,0,0,0,26,1,2,0,0,0,0,0,0,0,0,0,3,348,2566,0
0,0,0,0,39,1,0,0,0,0,2,0,0,0,1,1,3,373,3269,0
0,1,0,0,4,1,0,1,0,0,2,0,0,0,0,1,1,787,1149,1
1,0,1,1,7,1,0,2,1,1,1,1,1,1,1,0,1,26,641,0
1,0,0,1,40,1,0,1,2,2,2,2,2,2,2,1,2,1439,4475,0
1,0,0,0,19,1,2,1,0,0,0,2,2,2,0,1,3,1211,3276,0
1,0,0,1,0,1,2,0,0,0,0,0,0,0,0,1,2,369,180,0
1,0,0,1,3,1,2,1,0,0,0,2,0,0,0,0,1,884,1110,1
1,0,1,1,7,1,0,2,1,1,1,1,1,1,0,1,3,15,635,0
1,0,0,0,17,1,2,0,2,0,2,0,2,0,0,0,3,677,2449,0
1,1,0,0,51,0,1,0,2,0,0,0,2,2,0,1,1,344,3581,0
1,0,0,0,30,1,0,1,0,2,0,0,2,2,0,1,2,1137,3784,0
1,0,1,1,28,1,0,2,1,1,1,1,1,1,0,1,3,41,1690,0
0,0,1,0,35,1,2,1,2,2,2,2,0,2,2,1,1,1349,4182,0
0,0,1,0,15,1,2,1,0,2,0,0,2,2,0,1,2,1239,2865,1
1,0,1,0,41,1,2,1,0,0,2,2,2,2,1,1,2,1388,4510,0
1,0,0,0,0,1,0,2,1,1,1,1,1,1,0,0,2,39,33,1
0,0,0,0,59,1,0,1,0,2,2,0,2,2,2,1,2,1232,5024,0
1,0,0,0,4,1,2,1,0,2,2,0,0,0,0,1,2,967,1299,1
1,0,1,0,21,1,2,1,2,0,0,2,2,0,0,0,1,1165,3397,0
1,0,1,0,35,1,0,2,1,1,1,1,1,1,1,0,3,28,1711,0
0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,2,695,995,1
1,0,0,0,8,1,0,0,2,0,0,2,0,2,0,0,3,604,1529,0
1,0,1,1,0,1,0,1,0,2,0,0,0,0,0,0,1,768,326,0
1,0,1,1,11,1,0,0,2,0,0,0,0,0,0,1,2,352,1561,0
0,0,0,0,22,1,2,0,0,0,0,2,2,2,1,1,3,751,3062,0
1,0,0,0,61,1,2,1,2,2,0,0,0,2,1,1,0,1098,4953,0
1,0,0,0,36,1,2,1,0,0,0,2,2,2,0,0,0,1216,4028,1
0,0,0,0,7,1,0,2,1,1,1,1,1,1,0,0,3,12,653,0
1,0,1,0,30,1,2,1,0,0,2,0,2,0,0,0,1,1028,3649,0
1,0,1,1,12,1,2,1,0,0,0,0,0,0,0,1,1,764,2051,1
0,0,0,0,23,1,2,1,0,0,2,0,2,2,0,1,2,1215,3492,1
1,0,1,1,44,1,2,1,0,2,2,0,0,2,0,1,0,1166,4454,0
0,1,1,0,68,1,2,1,0,2,0,2,2,2,2,0,1,1337,5349,0
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,33,97,0
1,0,1,1,60,1,2,1,2,2,0,0,2,2,1,1,2,1348,5224,1
1,0,0,0,40,1,2,1,0,2,2,0,2,2,0,1,2,1323,4412,1
1,0,0,0,38,0,1,0,0,0,2,2,0,0,1,0,3,193,2590,0
1,0,1,1,71,0,1,0,2,2,2,2,2,2,2,1,1,606,4577,0
0,1,0,0,12,1,0,1,0,0,2,0,2,2,0,1,2,1183,2494,0
0,0,1,1,50,1,0,0,2,2,0,2,0,2,1,1,1,682,4070,0
0,1,1,0,70,1,0,1,0,2,2,0,2,2,2,1,2,1223,5395,0
1,1,0,0,21,1,2,1,0,0,0,0,2,2,0,1,2,1180,3304,1
0,0,0,0,1,1,0,0,0,2,0,2,0,0,0,1,1,446,492,1
0,0,0,0,55,1,2,1,0,2,2,0,2,2,1,1,2,1364,5011,0
0,0,1,1,22,1,0,0,2,2,0,2,0,0,1,1,3,490,2557,0
0,1,1,0,65,1,2,0,0,2,2,0,2,0,1,1,0,704,4565,0
1,1,0,0,18,1,2,1,0,2,0,0,2,0,0,1,2,1019,3074,1
0,0,1,1,7,1,0,2,1,1,1,1,1,1,1,1,3,23,607,1
0,0,1,1,51,1,2,1,2,2,2,0,0,2,0,0,0,1204,4689,0
1,0,0,0,2,1,0,2,1,1,1,1,1,1,0,1,2,33,242,0
0,0,1,1,50,1,0,1,2,2,0,0,0,0,0,1,0,851,4274,0
1,1,0,0,14,1,2,1,0,0,0,0,0,0,0,0,2,789,2388,1
1,1,1,0,63,1,2,1,0,2,2,0,0,2,0,1,2,1132,5080,0
0,0,0,0,36,0,1,0,0,0,2,0,0,2,0,1,1,239,2805,0
1,0,0,0,12,1,0,2,1,1,1,1,1,1,2,0,3,27,890,0
0,0,0,0,17,1,0,1,0,0,0,0,0,0,0,1,2,709,2509,0
1,1,0,0,0,1,2,1,0,0,0,0,0,0,0,1,2,770,327,1
1,0,1,0,67,0,1,0,2,0,2,0,2,2,2,1,0,428,4169,0
1,0,0,0,53,1,0,2,1,1,1,1,1,1,2,0,1,21,2196,0
0,1,1,1,22,1,0,1,0,2,2,0,0,2,0,1,0,1024,3331,0
1,0,0,0,16,1,0,1,0,0,2,0,0,0,0,1,2,808,2597,1
1,0,1,0,70,1,2,0,2,2,2,2,0,2,2,0,1,876,4949,0
0,0,1,1,66,1,0,2,1,1,1,1,1,1,2,1,0,13,2667,0
0,0,1,1,13,1,2,1,0,0,0,0,2,0,0,1,2,957,2453,0
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,105,66,1
0,0,0,1,62,1,0,2,1,1,1,1,1,1,2,0,1,18,2465,0
0,0,0,0,40,1,2,0,0,0,2,2,0,2,1,1,2,660,3735,0
1,0,1,0,55,1,2,1,2,0,0,0,2,2,1,1,2,1250,4868,0
0,0,0,0,4,1,0,2,1,1,1,1,1,1,0,0,1,39,470,0
0,0,0,0,1,0,1,0,2,2,0,0,0,2,0,1,2,261,309,1
0,0,1,0,2,1,0,2,1,1,1,1,1,1,0,1,3,20,214,0
1,0,0,0,36,1,2,0,2,2,2,2,0,0,1,0,2,642,3518,0
0,0,0,0,28,1,0,0,2,2,2,0,0,2,0,1,0,665,3229,1
1,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,3,268,1118,0
0,0,0,0,62,1,2,1,0,2,2,2,2,2,0,1,1,1417,5350,0
0,0,0,0,18,1,0,0,0,0,0,0,0,2,0,1,2,469,2318,0
0,0,1,0,58,1,0,2,1,1,1,1,1,1,2,0,0,1,2267,0
1,0,1,1,1,1,0,1,0,0,2,2,0,2,0,0,1,1055,749,1
0,0,1,1,34,1,2,2,1,1,1,1,1,1,0,1,2,104,2032,0
0,0,0,0,13,1,0,1,0,0,2,0,0,0,0,0,2,783,2220,1
0,0,1,1,68,1,0,2,1,1,1,1,1,1,2,0,1,24,2762,0
1,1,1,0,6,1,2,0,2,2,0,2,0,0,0,0,2,589,1399,0
0,0,1,1,71,1,2,0,0,2,0,2,2,2,2,1,2,847,4951,0
1,0,0,0,7,1,2,1,0,2,0,0,2,2,0,0,2,1256,1930,1
0,0,1,1,3,1,0,0,2,0,0,0,0,0,0,0,2,374,808,0
1,0,1,1,62,1,0,1,0,2,2,0,0,0,0,1,1,874,4643,0
0,0,0,0,45,1,0,2,1,1,1,1,1,1,2,1,2,50,2115,0
0,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,2,686,1103,1
0,0,0,0,59,1,0,2,1,1,1,1,1,1,2,0,0,25,2364,0
0,0,1,0,62,1,2,1,0,2,2,0,2,2,1,1,2,1375,5318,1
1,0,1,1,24,1,0,1,0,0,0,2,2,0,0,0,2,979,3374,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,314,152,1
1,1,1,0,5,1,2,1,0,0,2,0,0,0,0,1,2,884,1364,0
1,0,0,0,21,1,2,2,1,1,1,1,1,1,2,0,3,94,1556,0
0,0,1,1,30,1,2,0,0,2,0,2,2,2,2,0,0,879,3536,0
0,0,1,1,38,1,0,1,0,0,2,2,0,0,0,1,0,898,3858,0
1,0,0,0,25,1,0,2,1,1,1,1,1,1,0,0,3,46,1469,0
0,0,1,0,52,1,0,1,2,2,2,0,2,2,1,1,0,1350,4968,1
0,0,0,0,0,1,0,1,0,2,0,2,2,0,0,0,2,1088,443,1
1,0,0,0,11,1,2,0,2,2,0,2,0,0,0,1,2,640,1955,0
0,0,0,0,15,1,2,1,0,2,2,0,0,2,0,1,1,1159,2883,1
1,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1,2,775,329,1
0,0,1,1,6,0,1,0,2,0,0,2,0,0,0,0,3,178,901,0
1,1,0,0,3,1,0,1,0,0,0,0,0,0,0,0,2,674,938,0
1,1,0,0,9,1,2,1,0,0,0,0,2,2,0,1,2,1154,2054,1
0,0,0,0,54,1,0,1,0,2,2,0,0,0,0,1,2,899,4476,0
1,0,1,1,71,1,0,0,0,2,2,0,2,2,2,1,0,784,4854,0
0,0,1,0,9,1,0,0,0,0,2,0,2,2,0,1,1,647,1685,0
1,1,0,0,10,1,2,1,0,2,2,2,2,2,0,1,2,1444,2430,0
0,0,1,1,14,1,0,0,0,0,0,0,0,0,0,0,2,322,1669,0
0,0,1,1,22,1,0,2,1,1,1,1,1,1,2,0,0,36,1410,0
1,0,0,1,0,1,0,2,1,1,1,1,1,1,0,0,3,29,23,0
0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,297,553,1
1,0,1,1,46,1,0,1,2,2,2,0,0,2,1,1,2,1169,4433,0
0,0,0,1,14,1,0,2,1,1,1,1,1,1,1,0,3,21,965,0
1,0,0,0,65,1,0,1,0,2,2,0,2,2,0,0,2,1229,5272,1
0,1,1,0,67,1,0,0,0,2,2,2,0,0,1,1,0,538,4253,0
0,0,1,1,16,1,0,1,0,0,2,2,2,2,1,0,0,1212,3010,1
0,0,0,0,6,1,0,0,0,0,0,2,2,0,0,1,3,516,1277,1
1,1,1,0,11,1,0,1,0,0,0,0,0,2,0,1,2,877,2134,1
0,1,1,0,20,1,2,0,0,2,2,0,0,2,1,0,0,719,2818,0
1,0,0,0,20,0,1,0,0,2,0,2,0,0,0,1,3,200,1875,0
0,0,1,1,55,1,2,0,2,0,0,0,2,0,1,0,0,608,4044,0
0,0,1,1,5,1,2,0,0,0,0,0,0,0,0,1,1,347,975,0
0,1,0,0,64,0,1,0,0,2,2,0,2,2,2,1,0,416,4047,0
1,0,1,0,41,1,2,0,2,0,0,2,2,2,1,0,1,877,3985,0
0,0,1,1,67,1,2,1,2,0,2,2,2,2,2,1,0,1402,5456,0
1,0,1,1,47,1,2,2,1,1,1,1,1,1,2,0,0,114,2506,0
0,1,0,0,49,1,2,1,0,2,0,2,2,2,1,1,2,1364,4815,0
0,0,1,1,62,1,0,2,1,1,1,1,1,1,2,0,2,15,2530,0
1,0,0,0,16,1,0,2,1,1,1,1,1,1,0,0,1,50,1216,0
0,0,1,1,41,1,0,1,0,0,0,0,2,0,0,1,1,827,3989,1
1,0,1,1,3,1,0,2,1,1,1,1,1,1,0,0,3,5,399,0
0,0,0,1,61,1,2,2,1,1,1,1,1,1,2,0,0,109,2953,0
1,1,0,0,1,1,0,1,0,2,0,0,0,0,0,1,2,770,683,1
1,0,1,0,47,1,2,1,2,2,2,0,2,0,2,1,0,1184,4462,0
0,0,1,1,69,1,0,0,0,2,2,2,2,2,2,1,0,876,4946,0
1,1,0,0,0,1,2,1,0,0,2,0,2,0,0,1,2,1031,424,1
1,0,1,0,45,1,2,1,0,2,2,0,2,0,1,1,2,1140,4404,0
1,0,0,0,29,1,0,1,0,0,0,0,2,2,0,1,2,1060,3681,1
0,0,0,0,14,1,2,0,2,0,0,0,0,2,0,1,0,598,2178,1
1,0,0,0,64,1,0,2,1,1,1,1,1,1,2,1,1,19,2476,0
1,1,1,1,71,1,0,1,2,0,2,2,2,2,2,1,1,1311,5445,0
1,1,1,0,12,1,0,1,0,2,0,2,0,2,0,1,0,1036,2413,1
1,0,0,0,16,1,0,2,1,1,1,1,1,1,1,1,3,30,989,0
1,0,1,0,50,1,2,1,2,0,2,2,2,2,1,1,2,1447,4947,0
1,0,1,1,50,1,0,0,2,2,0,2,0,0,2,0,1,536,3865,0
1,0,1,1,66,1,2,1,0,2,2,0,0,0,1,0,2,1008,5014,1
1,0,0,0,33,1,0,2,1,1,1,1,1,1,0,0,3,22,1724,0
1,0,1,0,66,0,1,0,2,2,0,2,0,2,2,1,0,387,4049,0
1,0,1,1,52,1,0,2,1,1,1,1,1,1,2,1,3,16,2337,0
1,0,0,0,26,1,2,0,0,0,2,2,0,0,0,0,2,515,2928,0
0,1,0,0,22,1,0,1,0,2,0,0,2,2,0,1,2,1142,3433,1
1,0,0,0,68,1,2,0,2,2,2,2,0,2,2,1,1,898,4882,0
0,0,1,1,1,0,1,0,0,0,0,2,0,0,0,0,0,124,133,0
0,0,0,0,34,1,2,1,0,0,0,0,2,0,0,1,2,990,3818,1
0,0,1,0,45,1,0,0,2,2,0,2,0,2,1,0,3,699,3918,0
0,0,0,0,53,1,2,1,0,2,0,0,2,2,2,1,0,1189,4741,0
0,0,1,0,55,1,2,1,0,2,0,0,2,2,1,1,2,1205,4865,1
0,0,1,0,8,1,0,1,0,0,2,0,0,0,0,1,0,791,1694,1
1,0,0,0,19,1,2,0,2,0,0,2,0,0,0,0,0,511,2441,0
1,0,0,0,10,1,0,1,0,2,0,0,0,0,0,1,3,794,2013,0
0,1,1,0,29,1,2,1,0,2,0,0,2,0,0,1,2,1056,3619,0
1,0,1,0,67,1,0,0,2,2,2,0,0,2,2,0,0,706,4567,0
1,1,1,0,37,1,2,1,0,2,2,0,2,2,0,1,2,1285,4262,0
0,1,1,0,16,1,2,1,2,0,2,0,0,0,0,1,0,968,2792,1
1,0,0,0,47,1,2,1,0,2,2,0,2,2,1,1,1,1350,4726,1
0,0,1,1,67,1,2,1,0,2,2,0,0,0,2,1,1,949,4960,0
1,1,0,0,16,1,0,0,0,0,0,0,0,0,0,1,2,298,1863,1
0,0,1,1,6,1,0,2,1,1,1,1,1,1,1,0,3,41,568,0
1,0,1,0,71,1,2,0,2,2,2,2,2,2,2,1,0,1002,5125,0
0,0,1,0,28,1,0,2,1,1,1,1,1,1,0,0,3,25,1567,0
1,0,1,0,36,1,0,1,0,0,2,2,0,2,0,1,2,1062,4000,0
0,0,0,0,33,1,2,1,2,2,2,0,2,2,0,1,3,1416,4082,1
0,1,0,0,41,1,2,1,0,0,0,0,2,0,0,1,2,954,4062,1
0,0,1,1,58,1,2,0,2,2,0,2,0,0,1,0,3,614,4171,0
1,0,1,1,10,1,0,1,0,0,0,0,2,0,0,1,0,858,2018,1
1,1,1,1,59,1,2,1,2,0,0,0,0,0,0,1,2,887,4619,0
0,0,0,0,0,1,2,1,0,0,0,0,0,2,0,0,3,977,416,1
1,1,0,0,0,1,0,1,0,0,0,0,2,0,0,1,2,850,361,1
1,0,1,0,16,0,1,0,2,0,2,0,0,0,0,0,3,174,1598,0
1,0,1,0,57,1,0,2,1,1,1,1,1,1,2,0,3,43,2435,0
1,0,1,1,0,1,0,2,1,1,1,1,1,1,1,0,3,4,0,0
0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,3,283,570,1
0,0,0,0,52,1,2,1,2,2,2,0,0,0,0,0,2,1071,4662,0
1,0,0,0,34,1,2,2,1,1,1,1,1,1,0,1,2,101,2058,0
1,0,1,1,49,1,2,1,2,0,2,0,2,2,0,0,1,1347,4814,1
1,0,1,1,67,1,2,0,0,2,0,2,0,2,2,0,1,703,4621,0
1,0,1,0,46,1,2,2,1,1,1,1,1,1,0,0,2,97,2381,0
0,1,1,0,64,1,2,1,0,2,2,0,2,2,0,1,0,1397,5366,0
1,0,0,0,4,1,0,1,0,0,0,0,0,0,0,1,2,682,1092,1
1,0,1,0,50,1,2,1,0,0,0,0,2,2,0,1,2,1140,4600,1
0,0,0,0,45,1,2,1,0,0,0,0,2,2,0,0,0,1168,4436,1
0,0,0,0,8,1,2,1,0,0,0,0,0,0,0,1,2,811,1707,0
0,0,0,0,7,1,0,2,1,1,1,1,1,1,2,0,3,33,711,0
1,0,0,0,13,1,2,2,1,1,1,1,1,1,1,1,1,85,1080,0
0,0,0,0,44,1,2,1,2,2,2,2,2,2,0,1,2,1497,4737,0
0,0,0,0,7,1,2,1,0,0,0,0,0,0,0,1,1,768,1531,0
1,1,0,1,0,1,0,0,0,0,2,0,0,0,0,1,3,371,182,1
1,0,1,1,71,1,2,0,2,2,2,2,0,0,2,0,1,725,4699,0
0,0,1,0,40,1,2,1,2,2,2,2,2,2,0,1,0,1468,4514,1
0,0,1,1,22,1,2,2,1,1,1,1,1,1,2,0,3,91,1634,0
0,0,0,0,28,1,0,1,0,0,0,0,2,0,0,1,2,846,3481,1
0,0,0,0,3,1,2,1,2,0,0,0,0,0,0,1,2,871,1075,0
1,0,1,1,5,1,2,2,1,1,1,1,1,1,2,0,3,97,639,0
0,1,1,0,66,1,2,1,2,2,2,2,0,2,1,1,1,1337,5355,0
1,1,0,1,6,1,0,0,0,0,0,0,0,0,0,1,3,312,1138,0
1,0,1,1,55,1,2,2,1,1,1,1,1,1,1,1,3,78,2758,0
0,0,1,0,71,1,2,2,1,1,1,1,1,1,2,0,1,89,3142,0
1,0,1,0,71,1,2,0,2,2,2,0,2,2,2,1,2,966,5081,0
1,0,1,1,22,1,0,2,1,1,1,1,1,1,2,0,1,20,1306,0
1,1,1,0,26,1,0,1,0,0,0,0,0,0,0,1,2,698,3215,0
0,0,1,1,25,1,2,0,0,2,0,2,0,0,0,1,2,527,2936,1
1,0,1,1,11,1,2,2,1,1,1,1,1,1,1,0,3,116,1064,0
0,0,0,0,39,1,0,2,1,1,1,1,1,1,2,0,3,31,1907,0
1,0,1,1,6,0,1,0,2,2,2,0,2,2,0,0,3,504,1378,0
1,0,1,1,59,1,0,2,1,1,1,1,1,1,2,0,1,21,2405,0
1,0,1,0,71,1,2,1,2,2,2,2,2,2,2,0,1,1479,5607,0
0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,2,179,83,1
1,0,1,1,53,1,2,0,0,2,0,2,2,0,1,1,2,701,4157,0
1,0,0,0,2,1,2,1,0,0,0,0,0,2,0,1,2,967,944,1
0,0,1,1,62,1,0,0,2,2,2,2,2,0,2,0,1,787,4554,0
1,0,1,1,70,1,2,1,0,2,0,2,0,0,2,1,2,957,5107,0
1,0,0,0,46,1,0,2,1,1,1,1,1,1,2,0,0,37,2124,0
0,0,1,1,65,1,2,1,0,2,2,0,2,2,1,1,1,1282,5248,1
0,0,1,0,20,1,2,1,2,0,2,0,2,2,0,1,0,1317,3375,1
1,0,0,0,10,0,1,0,0,2,0,2,0,0,0,1,2,195,1303,0
1,0,0,1,0,1,2,1,0,0,2,0,2,2,0,1,2,1234,480,1
0,1,1,0,54,1,2,1,0,2,2,2,0,0,0,0,2,1064,4716,0
1,0,0,0,68,1,2,1,0,2,2,2,2,0,2,1,1,1194,5282,0
0,1,0,0,2,1,0,1,0,0,2,0,0,0,0,0,2,753,766,0
1,0,0,0,3,1,0,0,0,0,2,2,2,2,0,1,2,764,1031,1
0,0,0,0,4,1,2,1,0,0,2,2,0,0,0,1,2,919,1285,0
0,0,1,0,70,1,2,2,1,1,1,1,1,1,2,1,1,77,3029,0
0,0,0,0,28,1,2,0,0,2,0,0,0,0,1,1,2,450,2939,0
1,0,1,0,51,1,2,0,0,2,0,2,0,0,0,0,0,552,3887,0
0,0,1,1,45,1,0,2,1,1,1,1,1,1,2,0,3,16,2153,0
1,0,1,0,71,1,0,2,1,1,1,1,1,1,2,0,1,22,2737,0
0,0,0,0,16,1,0,2,1,1,1,1,1,1,1,0,0,26,1085,0
0,0,0,0,8,1,0,1,2,0,0,0,0,0,0,1,1,761,1670,1
0,0,1,1,5,1,0,2,1,1,1,1,1,1,2,0,3,30,483,0
0,0,1,0,2,1,2,1,0,0,0,0,2,2,0,0,2,1145,974,0
1,0,1,0,29,1,2,0,0,0,0,0,0,0,0,0,2,366,2767,0
1,0,0,0,30,1,2,0,0,2,0,2,2,0,0,1,2,708,3345,0
0,0,0,0,44,1,0,0,2,0,2,2,2,2,2,0,0,900,4095,0
1,0,0,0,0,1,2,0,0,0,0,0,2,0,0,1,2,523,234,1
0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,679,272,1
1,1,1,1,60,1,2,1,0,2,0,0,2,2,1,0,2,1219,5035,0
1,0,0,0,0,1,0,2,1,1,1,1,1,1,0,0,3,9,4,0
1,0,0,0,8,0,1,0,0,0,0,0,2,2,0,1,2,305,1289,1
1,0,1,1,71,1,2,1,2,2,2,2,2,2,2,0,0,1479,5574,0
0,0,0,0,0,1,0,2,1,1,1,1,1,1,0,0,3,18,12,1
0,0,1,0,6,1,0,0,0,0,0,0,0,0,0,1,3,282,1061,0
0,0,1,0,65,1,2,1,0,2,2,2,0,0,1,1,0,1066,5095,0
1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,685,278,1
1,0,1,1,39,1,0,2,1,1,1,1,1,1,0,1,0,36,1828,0
1,0,0,0,15,1,2,0,0,2,2,0,0,2,0,1,0,714,2461,0
0,0,0,0,1,1,0,1,0,2,0,0,2,0,0,1,0,1003,734,1
1,0,1,0,66,1,2,2,1,1,1,1,1,1,2,0,1,86,2909,0
0,0,1,1,55,1,0,2,1,1,1,1,1,1,2,1,1,24,2351,0
0,0,0,0,71,1,2,1,2,2,2,2,2,2,2,1,0,1509,5559,0
